id,name,genre,artists,album,popularity,duration_ms,explicit
5ARGEPa89VwWTVxdetKvyY,ambient thunder,ambient,chill phil,rain & thunder - ambient music,54,124000,False
5KBPV8DAORKR4lNj1HId2b,ambient mood,ambient,a deeper sense,ambient mood,30,172107,False
1xrXbGlppVZ18pzHaLAZ9b,ambient,ambient,spoofi,ambient,16,115200,False
4H8xQ7eeZ79T1WFhruPzR6,ambient noise 100 hz,ambient,suburban dz,sleep sounds,53,220000,False
2uNLgsyX4bQOG9GHMneisx,celestial civilization,ambient,moonlynx,"fantasy ambient, vol. 3",32,97989,False
3LlPQMgGyUEUR3ytrhpplP,ambient,ambient,aiart electronics,ambient,34,113554,False
4g6Vw8odUtPpxCQqpZwfGR,ambient rain noise,ambient,dark focus,ambient nature noise,55,150095,False
3l4KxNbEjNmATOvW4YEWAJ,ambient dreamscapes,ambient,"chillstic, smerling adames",ambient dreamscapes,28,79481,False
3aYlpdjI4wOVLUdGVmGfjG,ambient,ambient,wolf schranze,liquify,19,96000,False
1qMZuBY2dSBJOCUI2FTjG8,ambient pink noise,ambient,sleep miracle,ambient pink noise,49,173035,False
5QxaCLIIE5o4gLYgssVFZn,angels - ambient,ambient,"inan, chylies, pandora.",angels (ambient),34,94500,False
3D66U1iMeZX970rK6SAo5u,ambient,ambient,a big enough sky,glimpse of us,18,96271,False
3IFcHLSFHp57q82Mp8Mljj,ambient shore,ambient,"the quiet path, the slumbering one",ambient shore,50,150000,False
5Koc9TQ8BgOxoBgq9FXNav,path lit,ambient,kazuma okabayashi,path lit,32,124500,False
3SsFgvT5api7ZGBP4FcMX0,ambient,ambient,331music,royalty free background music,10,133286,False
0XHDwwGxM46ao9RpbEQ6gN,ambient waves (green noise),ambient,oxford deluxe noise,deluxe green noise,46,125436,False
3Q7KcpMhob3lM0B1Eb2CJw,deficit,ambient,ambient graffiti,deficit,19,65122,False
3QA585uZRmxPjx7ZQELHDP,ambient,ambient,serenitysounds,ambient,13,120575,False
5IkeBdcbDC94iIKtHmoXWE,ambient pink noise flow,ambient,mindful measures,pink noise mindfulness,46,172000,False
3fDQMwNQtVatzEYwlvzkCW,eternal - nature,ambient,"luniq., retland",eternal souls,34,181600,False
1BkVKhcWhNQPskTxeG0Tqq,ambient,ambient,piano peace,music for stress relief,12,180612,False
0gF1Avb6FP3MMFaKiblmvX,ambient river sounds,ambient,the slumbering one,peaceful slumber,47,124000,False
7g4r6BGlrWtayJmU0Gxm0v,circle 29,ambient,"foam and sand, robot koch, two lanes",foam and sand,33,178951,False
4CyiJHqrBVUm3GAYqmxik4,ambient,ambient,baby beethoven,zen of rain,22,141335,False
